TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Find My Mac,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Gmail,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Contacts,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Calendars,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,W&L: Contacts,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Facebook: Calendars !!only!!,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,App Store Settings: Uncheck _Install macOS updates_ and _Install system data files and security updates_,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Sharing Settings,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Set _Computer Name_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check _Remote Login (SSH)_ but only for these users: _Garrett_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Users & Groups Settings,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Set password and profile picture,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Login Items,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,BitBar,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,BetterTouchTool,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Insync,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Moom,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Alfred 3,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Login Options: Show fast user switching menu as: _Icon_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Finder Preferences,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Desktop icons: Snap to grid,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,"View Options: !!Sort!! by _name_, Show Library Folder, and Set as Defaults",4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Sidebar,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,"Remove _Recents_, _iCloud Drive_, _Documents_, _Remote Disc_, _computer_, and _Recent Tags_",4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,1: Personal (Insync folder for personal Google Drive),4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,2: Work (Insync folder for work Google Drive),4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,3: AirDrop,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,4: Applications,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,5: Home,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,6: Downloads,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,7: Desktop,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,8: IdeaProjects (IDE workspace),4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,HAL 9000 screensaver (in Google Drive _Backup_ folder),4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Generated backgrounds (my Bash script),4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Set up Time Machine backups,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
