TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Advanced Settings: Snap Areas: Disable the Snap Area feature,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Airmail 3,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,"Import accounts from iCloud sync: Gmail, Work, School",4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check _Open Links in Background_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Change _Dock + Status Menu_ to just _Dock_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Mark as Read: _Manually_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Composing Settings,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Default Sender: _Ask_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Sending Delay: _15 sec_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Appearance Settings: Theme: _Pro Slim_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Services Settings,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Calendar: _Disable_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,"Link _Google Drive, Todoist,_ and _Evernote_",4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Advanced: Detect in messages: _Links_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Evernote,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Preferences: Uncheck _Show Evernote Helper in the menu bar_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Keyboard Shortcuts,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Search in Evernote: _Control+Option+Command+B_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Clear other shortcuts like _Quick Note_ shortcut,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,"Formatting: Format for “Insert Date”: _Jan 1, 2017_",4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,TogglDesktop,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check _Show timer on menu bar_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check _Show project on menu bar_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Show dock icon_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Focus app on global shortcut_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Reminder Settings,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Remind to track time: _20 minutes_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Reminder start time: _10:00_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Reminder end time: _17:00_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Uncheck _Sat_ and _Sun_,4,4,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,MacVim,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Check _Check for updates (when MacVim launches)_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,After last window closes: _Quit MacVim_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Alfred,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Hotkey: _Command+Space_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Where are you: _United States_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Appearance: _Alfred macOS Dark_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,TG Pro,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Use license key from LastPass,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Update Frequency: _~3s_,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,"MenuBar: _Highest, Average CPU_, and _Average RPM_ using _shorter titles_",4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Fan: Auto Boost Rules based on [https://docs.google.com/spreadsheets/d/1xS2cyAgw2n3J3kfsrzPrlRPTrbyopBzqoEkXQxW9lDc/edit?pli=1#gid=369680853 (this spreadsheet)],4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,BitBar: Set plugins directory to _~/dotfiles/BitBarScripts_,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Goofy: Preferences: Check _Desktop notifications enabled_,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Spotify,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,High quality streaming,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Download playlists,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Add Music folder from Google Drive,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Set up game save sync locations (GD Games folder),4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Minecraft,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Papers Please,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Osmos,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Lumino City,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Tunnelblick: Install home VPN configuration,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
